PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1100;3643;28,22;18;507,9;9,0;-45,9
1104;3643;27,91;18;502,4;9,0;-45,4
1108;3624;27,31;18;491,6;9,2;-45,3
1112;3607;26,62;18;479,2;9,3;-44,8
1116;3578;26,04;18;468,7;9,4;-44,2
1120;3563;25,38;18;456,8;9,5;-43,5
1124;3528;24,8;18;446,4;9,7;-43,5
1128;3520;24,03;18;432,5;9,6;-41,7
1132;3483;23,53;18;423,5;9,9;-41,8
1136;3470;22,78;18;410,0;10,0;-41,1
1140;3441;22,21;18;399,8;10,1;-40,4
1144;3422;21,5;18;387,0;10,3;-39,9
1148;3420;20,61;18;371,0;10,6;-39,1
1152;3375;20,17;18;363,1;10,6;-38,6
1156;3343;19,51;18;351,2;10,8;-38,1
1160;3316;18,85;18;339,3;10,9;-37,1
1164;3273;18,23;18;328,1;11,2;-36,8
1168;3248;17,57;18;316,3;11,2;-35,6
1172;3195;17,12;18;308,2;11,5;-35,4
1176;3193;16,34;18;294,1;11,6;-34,2
1180;3153;15,8;18;284,4;11,8;-33,6
1184;3127;15,19;18;273,4;11,9;-32,7
1188;3087;14,69;18;264,4;12,1;-31,9
1192;3057;14,16;18;254,9;12,1;-30,9
1196;3022;13,68;18;246,2;12,3;-30,3
1200;2985;13,27;18;238,9;12,4;-29,6
1204;2958;12,83;18;230,9;12,5;-28,8
1208;2925;12,36;18;222,5;12,8;-28,4
1212;2896;11,99;18;215,8;12,9;-27,8
1216;2866;11,58;18;208,4;12,9;-27,0
1220;2829;11,32;18;203,8;13,0;-26,6
1224;2806;11,0;18;198,0;13,1;-25,9
1228;2785;10,65;18;191,7;13,2;-25,3
1232;2756;10,27;18;184,9;13,4;-24,8
1236;2720;9,97;18;179,5;13,5;-24,2
1240;2695;9,55;18;171,9;13,7;-23,6
1244;2673;9,2;18;165,6;14,0;-23,2
1248;2638;8,87;18;159,7;14,1;-22,5
1252;2603;8,54;18;153,7;14,4;-22,1
1256;2572;8,19;18;147,4;14,6;-21,6
1260;2549;7,77;18;139,9;15,1;-21,1
1264;2514;7,39;18;133,0;15,3;-20,4
1268;2488;7,0;18;126,0;15,8;-20,0
1272;2444;6,65;18;119,7;16,2;-19,4
1276;2411;6,3;18;113,4;16,6;-18,8
1280;2379;6,0;18;108,0;16,8;-18,1
1284;2343;5,75;18;103,5;17,0;-17,6
1288;2310;5,5;18;99,0;17,4;-17,2
1292;2283;5,23;18;94,1;17,6;-16,6
1296;2247;5,0;18;90,0;17,9;-16,1
1300;2218;4,79;18;86,2;18,1;-15,6
1304;2178;4,59;18;82,6;18,4;-15,2
1308;2155;4,3;18;77,4;18,9;-14,7
1312;2123;4,1;18;73,8;19,3;-14,2
1316;2089;3,9;18;70,2;19,6;-13,8
1320;2046;3,68;18;66,2;20,1;-13,3
