 PWM (mus); RPM; Current (A); Voltage (V); Power (W); Force (Kg f); Efficiency (g/W)
1100,0;2662,0;13,62;10,0;136,2;-2,31;17,0
1104,0;2667,0;13,63;10,0;136,3;-2,3;16,9
1108,0;2661,0;13,45;10,0;134,5;-2,3;17,1
1112,0;2627,0;13,2;10,0;132,0;-2,28;17,3
1116,0;2617,0;12,81;10,0;128,1;-2,22;17,4
1120,0;2600,0;12,5;10,0;125,0;-2,18;17,5
1124,0;2590,0;12,14;10,0;121,4;-2,16;17,8
1128,0;2562,0;11,96;10,0;119,6;-2,13;17,8
1132,0;2535,0;11,63;10,0;116,3;-2,11;18,1
1136,0;2528,0;11,32;10,0;113,2;-2,05;18,2
1140,0;2514,0;11,0;10,0;110,0;-2,04;18,6
1144,0;2484,0;10,8;10,0;108,0;-1,99;18,4
1148,0;2472,0;10,45;10,0;104,5;-1,95;18,7
1152,0;2449,0;10,2;10,0;102,0;-1,93;18,9
1156,0;2436,0;9,9;10,0;99,0;-1,89;19,1
1160,0;2416,0;9,56;10,0;95,6;-1,84;19,2
1164,0;2395,0;9,29;10,0;92,9;-1,81;19,5
1168,0;2371,0;9,1;10,0;91,0;-1,79;19,7
1172,0;2344,0;8,8;10,0;88,0;-1,76;19,9
1176,0;2332,0;8,5;10,0;85,0;-1,71;20,2
1180,0;2306,0;8,3;10,0;83,0;-1,68;20,3
1184,0;2283,0;8,05;10,0;80,5;-1,65;20,5
1188,0;2271,0;7,71;10,0;77,1;-1,62;21,0
1192,0;2241,0;7,57;10,0;75,7;-1,59;21,0
1196,0;2219,0;7,3;10,0;73,0;-1,56;21,3
1200,0;2198,0;7,1;10,0;71,0;-1,54;21,7
1204,0;2177,0;6,82;10,0;68,2;-1,5;22,0
1208,0;2157,0;6,6;10,0;66,0;-1,47;22,3
1212,0;2129,0;6,48;10,0;64,8;-1,44;22,3
1216,0;2106,0;6,2;10,0;62,0;-1,41;22,8
1220,0;2094,0;6,0;10,0;60,0;-1,36;22,7
1224,0;2073,0;5,8;10,0;58,0;-1,33;22,9
1228,0;2046,0;5,6;10,0;56,0;-1,32;23,6
1232,0;2024,0;5,4;10,0;54,0;-1,29;23,9
1236,0;2005,0;5,2;10,0;52,0;-1,26;24,2
1240,0;1982,0;5,0;10,0;50,0;-1,22;24,4
1244,0;1957,0;4,84;10,0;48,4;-1,19;24,6
1248,0;1936,0;4,64;10,0;46,4;-1,17;25,1
1252,0;1907,0;4,5;10,0;45,0;-1,14;25,3
1256,0;1885,0;4,3;10,0;43,0;-1,1;25,5
1260,0;1864,0;4,1;10,0;41,0;-1,08;26,2
1264,0;1834,0;3,9;10,0;39,0;-1,06;27,1
1268,0;1816,0;3,73;10,0;37,3;-1,02;27,2
1272,0;1789,0;3,6;10,0;36,0;-0,99;27,5
1276,0;1762,0;3,5;10,0;35,0;-0,97;27,7
1280,0;1745,0;3,3;10,0;33,0;-0,93;28,2
1284,0;1717,0;3,2;10,0;32,0;-0,91;28,3
1288,0;1697,0;3,0;10,0;30,0;-0,88;29,3
1292,0;1671,0;2,9;10,0;29,0;-0,85;29,4
1296,0;1643,0;2,8;10,0;28,0;-0,83;29,5
1300,0;1615,0;2,6;10,0;26,0;-0,8;30,7
1304,0;1591,0;2,4;10,0;24,0;-0,78;32,5
1308,0;1562,0;2,3;10,0;23,0;-0,75;32,7
1312,0;1539,0;2,1;10,0;21,0;-0,72;34,3
1316,0;1516,0;2,0;10,0;20,0;-0,7;34,9
1320,0;1488,0;1,9;10,0;19,0;-0,67;35,3
1324,0;1461,0;1,8;10,0;18,0;-0,65;36,3
1328,0;1440,0;1,7;10,0;17,0;-0,63;37,1
1332,0;1411,0;1,6;10,0;16,0;-0,61;38,3
1336,0;1382,0;1,5;10,0;15,0;-0,58;38,7
1340,0;1347,0;1,4;10,0;14,0;-0,55;39,5
1344,0;1320,0;1,3;10,0;13,0;-0,53;40,8
1348,0;1294,0;1,2;10,0;12,0;-0,51;42,7
1352,0;1265,0;1,2;10,0;12,0;-0,49;40,4
1356,0;1239,0;1,1;10,0;11,0;-0,47;42,5
1360,0;1200,0;1,0;10,0;10,0;-0,44;44,5
1364,0;1174,0;0,9;10,0;9,0;-0,42;46,9
1368,0;1142,0;0,8;10,0;8,0;-0,4;49,9
1372,0;1114,0;0,8;10,0;8,0;-0,38;47,6
1376,0;1080,0;0,7;10,0;7,0;-0,35;50,5
1380,0;1048,0;0,7;10,0;7,0;-0,34;48,0
1384,0;1016,0;0,6;10,0;6,0;-0,31;52,2
1388,0;986,0;0,5;10,0;5,0;-0,29;59,0
1392,0;948,0;0,5;10,0;5,0;-0,28;55,3
1396,0;916,0;0,4;10,0;4,0;-0,25;62,4
1400,0;883,0;0,4;10,0;4,0;-0,24;59,0
1404,0;845,0;0,4;10,0;4,0;-0,21;53,3
1408,0;813,0;0,3;10,0;3,0;-0,2;66,5
1412,0;774,0;0,22;10,0;2,2;-0,18;82,5
1416,0;740,0;0,2;10,0;2,0;-0,16;81,6
1420,0;701,0;0,2;10,0;2,0;-0,15;77,1
1424,0;664,0;0,2;10,0;2,0;-0,14;68,0
1428,0;624,0;0,2;10,0;2,0;-0,12;59,0
1432,0;584,0;0,1;10,0;1,0;-0,1;99,8
1436,0;545,0;0,1;10,0;1,0;-0,09;86,2
1440,0;504,0;0,1;10,0;1,0;-0,07;72,6
1444,0;462,0;0,05;10,0;0,5;-0,06;127,0
1448,0;421,0;0,05;10,0;0,5;-0,05;108,9
1452,0;377,0;0,05;10,0;0,5;-0,05;90,7
1456,0;335,0;0,05;10,0;0,5;-0,03;63,5
