PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1100;3783;32,17;20;643,5;7,8;-50,4
1104;3777;31,37;20;627,4;7,9;-49,6
1108;3740;30,6;20;612,0;8,0;-49,2
1112;3741;29,67;20;593,4;8,2;-48,4
1116;3712;29,04;20;580,8;8,3;-47,9
1120;3681;28,26;20;565,2;8,4;-47,4
1124;3639;27,56;20;551,2;8,5;-46,8
1128;3642;26,74;20;534,8;8,6;-45,8
1132;3624;25,82;20;516,4;8,6;-44,6
1136;3569;25,16;20;503,2;8,8;-44,0
1140;3558;24,45;20;489,0;8,9;-43,5
1144;3571;23,54;20;470,8;9,0;-42,3
1148;3498;23,08;20;461,6;9,0;-41,6
1152;3449;22,46;20;449,2;9,2;-41,2
1156;3457;21,63;20;432,6;9,3;-40,2
1160;3390;21,0;20;420,0;9,4;-39,6
1164;3385;20,3;20;406,0;9,6;-38,9
1168;3335;19,65;20;393,0;9,7;-38,1
1172;3315;19,0;20;380,0;9,8;-37,1
1176;3293;18,36;20;367,2;10,0;-36,6
1180;3250;17,75;20;355,0;10,0;-35,6
1184;3211;17,11;20;342,2;10,2;-34,8
1188;3184;16,43;20;328,6;10,2;-33,6
1192;3139;15,81;20;316,2;10,4;-32,9
1196;3107;15,23;20;304,6;10,4;-31,6
1200;3046;14,74;20;294,8;10,6;-31,3
1204;3034;14,12;20;282,4;10,6;-30,0
1208;2983;13,66;20;273,2;10,8;-29,4
1212;2952;13,22;20;264,4;10,9;-28,7
1216;2927;12,69;20;253,8;10,9;-27,8
1220;2891;12,36;20;247,2;11,1;-27,4
1224;2856;12,01;20;240,2;11,1;-26,7
1228;2824;11,57;20;231,4;11,3;-26,0
1232;2797;11,27;20;225,4;11,3;-25,4
1236;2766;10,84;20;216,8;11,5;-25,0
1240;2731;10,54;20;210,8;11,6;-24,4
1244;2698;10,22;20;204,4;11,8;-24,0
1248;2679;9,77;20;195,4;11,8;-23,1
1252;2636;9,4;20;188,0;12,0;-22,6
1256;2623;8,96;20;179,2;12,3;-22,0
1260;2579;8,6;20;172,0;12,4;-21,4
1264;2554;8,29;20;165,8;12,7;-21,1
1268;2523;7,87;20;157,4;13,0;-20,4
1272;2487;7,48;20;149,6;13,2;-19,7
1276;2453;7,03;20;140,6;13,6;-19,1
1280;2414;6,6;20;132,0;14,1;-18,6
1284;2367;6,3;20;126,0;14,3;-18,0
1288;2346;5,97;20;119,4;14,5;-17,3
1292;2300;5,7;20;114,0;14,7;-16,7
1296;2265;5,41;20;108,2;15,1;-16,4
1300;2229;5,16;20;103,2;15,3;-15,8
1304;2192;4,88;20;97,6;15,6;-15,2
1308;2166;4,6;20;92,0;16,0;-14,7
1312;2135;4,31;20;86,2;16,4;-14,1
1316;2093;4,09;20;81,8;16,8;-13,7
1320;2050;3,81;20;76,2;17,4;-13,2
1324;2009;3,58;20;71,6;17,7;-12,7
1328;1972;3,32;20;66,4;18,4;-12,2
1332;1927;3,09;20;61,8;18,9;-11,7
1336;1895;2,9;20;58,0;19,1;-11,1
1340;1853;2,71;20;54,2;19,7;-10,7
1344;1816;2,46;20;49,2;20,7;-10,2
1348;1779;2,3;20;46,0;21,5;-9,9
1352;1748;2,1;20;42,0;22,5;-9,4
1356;1718;2,0;20;40,0;22,7;-9,1
1360;1676;1,84;20;36,8;23,8;-8,8
1364;1643;1,7;20;34,0;24,4;-8,3
1368;1597;1,59;20;31,8;24,5;-7,8
1372;1560;1,5;20;30,0;25,1;-7,5
1376;1526;1,3;20;26,0;27,6;-7,2
1380;1493;1,29;20;25,8;26,7;-6,9
1384;1461;1,2;20;24,0;27,4;-6,6
1388;1426;1,05;20;21,0;30,0;-6,3
1392;1388;1,0;20;20,0;29,5;-5,9
1396;1349;0,88;20;17,6;31,7;-5,6
1400;1315;0,8;20;16,0;33,2;-5,3
1404;1277;0,7;20;14,0;36,0;-5,0
1408;1246;0,7;20;14,0;33,7;-4,7
1412;1201;0,6;20;12,0;37,0;-4,4
1416;1159;0,5;20;10,0;41,3;-4,1
1420;1120;0,5;20;10,0;38,6;-3,9
1424;1077;0,4;20;8,0;44,8;-3,6
1428;1024;0,4;20;8,0;40,3;-3,2
1432;982;0,3;20;6,0;49,1;-2,9
1436;925;0,2;20;4,0;65,8;-2,6
1440;876;0,2;20;4,0;59,0;-2,4
1444;813;0,2;20;4,0;51,0;-2,0
1448;752;0,1;20;2,0;86,2;-1,7
1452;688;0,1;20;2,0;72,6;-1,5
1456;624;0,1;20;2,0;61,2;-1,2
1460;547;0,05;20;1,0;90,7;-0,9
1464;471;0,05;20;1,0;72,6;-0,7
1468;389;0,05;20;1,0;54,4;-0,5
1472;310;0,05;20;1,0;36,3;-0,4
1476;0;0,0;20;0,0;0,0;0,0
1480;0;0,0;20;0,0;0,0;0,0
1484;0;0,0;20;0,0;0,0;0,0
1488;0;0,0;20;0,0;0,0;0,0
1492;0;0,0;20;0,0;0,0;0,0
1496;0;0,0;20;0,0;0,0;0,0
1500;0;0,0;20;0,0;0,0;0,0
1504;0;0,0;20;0,0;0,0;0,0
1508;0;0,0;20;0,0;0,0;0,0
1512;0;0,0;20;0,0;0,0;0,0
1516;0;0,0;20;0,0;0,0;0,0
1520;0;0,0;20;0,0;0,0;0,0
1524;0;0,0;20;0,0;0,0;0,0
1528;0;0,0;20;0,0;0,0;0,0
1532;379;0,05;20;1,0;59,0;0,6
1536;457;0,05;20;1,0;86,2;0,9
1540;532;0,05;20;1,0;113,4;1,1
1544;605;0,1;20;2,0;74,8;1,5
1548;676;0,1;20;2,0;90,7;1,8
1552;735;0,1;20;2,0;106,6;2,1
1556;797;0,2;20;4,0;62,4;2,5
1560;857;0,2;20;4,0;71,4;2,9
1564;905;0,2;20;4,0;80,5;3,2
1568;963;0,3;20;6,0;60,5;3,6
1572;1001;0,4;20;8,0;48,8;3,9
1576;1046;0,4;20;8,0;53,3;4,3
1580;1092;0,5;20;10,0;46,7;4,7
1584;1129;0,5;20;10,0;49,9;5,0
1588;1162;0,6;20;12,0;44,6;5,4
1592;1207;0,7;20;14,0;40,8;5,7
1596;1240;0,7;20;14,0;43,4;6,1
1600;1273;0,8;20;16,0;40,0;6,4
1604;1305;0,8;20;16,0;41,4;6,6
1608;1334;0,96;20;19,2;36,4;7,0
1612;1367;1,0;20;20,0;37,0;7,4
1616;1407;1,1;20;22,0;35,5;7,8
1620;1441;1,2;20;24,0;34,0;8,2
1624;1472;1,3;20;26,0;33,1;8,6
1628;1506;1,4;20;28,0;31,8;8,9
1632;1537;1,51;20;30,2;30,9;9,3
1636;1571;1,6;20;32,0;30,5;9,8
1640;1603;1,79;20;35,8;28,5;10,2
1644;1644;1,9;20;38,0;27,9;10,6
1648;1685;2,06;20;41,2;27,2;11,2
1652;1720;2,2;20;44,0;26,6;11,7
1656;1751;2,37;20;47,4;25,7;12,2
1660;1797;2,63;20;52,6;24,3;12,8
1664;1832;2,82;20;56,4;23,2;13,1
1668;1868;3,06;20;61,2;22,5;13,8
1672;1911;3,28;20;65,6;21,9;14,4
1676;1950;3,49;20;69,8;21,9;15,3
1680;1991;3,72;20;74,4;21,3;15,8
1684;2040;3,98;20;79,6;20,6;16,4
1688;2072;4,26;20;85,2;20,4;17,4
1692;2110;4,59;20;91,8;19,6;18,0
1696;2145;4,83;20;96,6;19,1;18,5
1700;2186;5,08;20;101,6;18,9;19,2
1704;2218;5,39;20;107,8;18,4;19,8
1708;2242;5,66;20;113,2;18,3;20,7
1712;2292;5,9;20;118,0;18,0;21,2
1716;2321;6,2;20;124,0;17,7;22,0
1720;2371;6,5;20;130,0;17,3;22,5
1724;2419;6,87;20;137,4;16,9;23,3
1728;2452;7,3;20;146,0;16,7;24,4
1732;2493;7,72;20;154,4;16,3;25,2
1736;2520;8,14;20;162,8;16,0;26,1
1740;2552;8,53;20;170,6;15,6;26,6
1744;2593;8,92;20;178,4;15,5;27,6
1748;2621;9,29;20;185,8;15,2;28,3
1752;2654;9,7;20;194,0;15,0;29,1
1756;2696;10,0;20;200,0;15,0;29,9
1760;2723;10,43;20;208,6;14,7;30,6
1764;2752;10,77;20;215,4;14,6;31,3
1768;2788;11,12;20;222,4;14,5;32,2
1772;2820;11,47;20;229,4;14,3;32,8
1776;2861;11,78;20;235,6;14,2;33,6
1780;2887;12,23;20;244,6;14,1;34,4
1784;2928;12,62;20;252,4;14,1;35,5
1788;2968;13,0;20;260,0;14,0;36,4
1792;3013;13,47;20;269,4;13,8;37,2
1796;3039;14,0;20;280,0;13,7;38,5
1800;3088;14,46;20;289,2;13,7;39,6
1804;3122;15,07;20;301,4;13,6;41,0
1808;3182;15,64;20;312,8;13,5;42,1
1812;3221;16,27;20;325,4;13,3;43,3
1816;3268;16,83;20;336,6;13,1;44,2
1820;3304;17,51;20;350,2;13,0;45,5
1824;3341;18,07;20;361,4;13,0;47,0
1828;3380;18,69;20;373,8;12,9;48,2
1832;3418;19,3;20;386,0;12,8;49,3
1836;3453;19,98;20;399,6;12,6;50,2
1840;3481;20,63;20;412,6;12,5;51,4
1844;3519;21,21;20;424,2;12,3;52,0
1848;3561;21,88;20;437,6;12,3;53,9
1852;3593;22,49;20;449,8;12,3;55,2
1856;3614;23,2;20;464,0;12,1;56,2
1860;3660;23,8;20;476,0;12,0;57,1
1864;3684;24,55;20;491,0;11,8;58,2
1868;3721;25,19;20;503,8;11,8;59,3
1872;3732;25,95;20;519,0;11,7;60,6
1876;3778;26,62;20;532,4;11,5;61,3
1880;3801;27,55;20;551,0;11,4;62,6
1884;3837;28,12;20;562,4;11,3;63,6
1888;3855;28,95;20;579,0;11,2;64,6
1892;3877;29,74;20;594,8;11,0;65,5
1896;3907;30,46;20;609,2;10,9;66,2
1900;3931;31,21;20;624,2;10,8;67,2
